name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Gwenael Changeon,37,12,38,105,30-34,29,---,FRA,---,4674,00:58:24,3.9 km,00:03:22,05:07:29,180.2 km,00:02:09,03:31:41,42.2 km,09:43:05
Przemyslaw Janik,38,4,39,174,35-39,36,Mazowieckie,POL,---,4829,01:08:50,3.9 km,00:03:16,05:12:12,180.2 km,00:02:01,03:17:25,42.2 km,09:43:44
Neal Keijzer,39,13,40,302,30-34,32,NL,NLD,---,4660,00:56:47,3.9 km,00:03:56,05:15:21,180.2 km,00:03:06,03:25:07,42.2 km,09:44:17
Michael Krones,40,14,41,813,30-34,34,---,DEU,---,4654,00:58:29,3.9 km,00:04:11,05:19:14,180.2 km,00:02:59,03:19:55,42.2 km,09:44:48
Pierre-Yves Archambault,42,6,43,132,40-44,41,FR,FRA,---,4887,00:58:50,3.9 km,00:03:26,05:15:11,180.2 km,00:02:37,03:24:59,42.2 km,09:45:03
Ralf Engemann,43,2,44,1435,45-49,48,---,DEU,---,4806,01:00:12,3.9 km,00:03:06,05:18:30,180.2 km,00:02:33,03:20:51,42.2 km,09:45:12
Mike Bogaert,44,15,45,734,30-34,33,BE,BEL,---,4646,00:56:57,3.9 km,00:04:43,05:20:30,180.2 km,00:05:30,03:17:44,42.2 km,09:45:24
Mathias Pfaehler,45,7,46,383,40-44,43,DE,DEU,---,4880,01:03:17,3.9 km,00:03:08,05:00:55,180.2 km,00:02:29,03:35:47,42.2 km,09:45:36
Christian Piri,46,16,47,208,30-34,30,DE,DEU,---,4632,00:57:23,3.9 km,00:03:03,05:20:37,180.2 km,00:03:37,03:21:55,42.2 km,09:46:35
Aritz Cortabarria,47,5,48,969,35-39,38,---,ESP,---,4793,00:56:47,3.9 km,00:03:49,05:29:39,180.2 km,00:03:05,03:13:25,42.2 km,09:46:45
Christof Schmidt,48,8,49,1889,40-44,44,---,DEU,---,4851,00:53:58,3.9 km,00:04:27,05:16:03,180.2 km,00:03:20,03:30:13,42.2 km,09:48:01
Sander Berk,49,6,50,942,35-39,37,NL,NLD,---,4777,00:48:47,3.9 km,00:02:37,05:36:55,180.2 km,00:03:12,03:16:31,42.2 km,09:48:02
Tom Hellemans,50,7,51,1010,35-39,34,BE,BEL,---,4771,00:55:24,3.9 km,00:03:31,05:26:18,180.2 km,00:04:10,03:19:10,42.2 km,09:48:33
Francois Bodic,51,17,52,103,30-34,31,FR,FRA,---,4608,01:00:29,3.9 km,00:02:57,05:21:47,180.2 km,00:04:04,03:19:21,42.2 km,09:48:38
Gary Reynaud,52,6,53,684,25-29,28,FR,FRA,---,4845,00:53:17,3.9 km,00:03:57,05:09:53,180.2 km,00:02:48,03:38:50,42.2 km,09:48:45
Daniel Fasanelli,53,1,54,377,50-54,50,---,FRA,---,5000,00:56:43,3.9 km,00:03:32,05:25:29,180.2 km,00:02:57,03:20:33,42.2 km,09:49:14
Thomas Schwarz,54,18,55,339,30-34,34,DE,DEU,---,4599,00:58:25,3.9 km,00:03:07,05:18:25,180.2 km,00:03:06,03:26:16,42.2 km,09:49:19
Soren Mellerup,55,8,56,198,35-39,34,---,DNK,---,4757,00:54:25,3.9 km,00:03:24,05:18:46,180.2 km,00:04:30,03:28:37,42.2 km,09:49:42
Ruben Bravo Zuñiga,56,9,57,951,35-39,36,---,ESP,---,4746,00:55:44,3.9 km,00:04:48,05:35:30,180.2 km,00:03:00,03:11:35,42.2 km,09:50:37
Saleta Castro Nogueira,2,2,58,58,PRO,29,ES,ESP,---,4683,00:54:44,3.9 km,00:02:40,05:45:28,180.2 km,00:03:28,03:04:47,42.2 km,09:51:07
Kelvin Van Der Doe,57,19,59,902,30-34,30,---,NLD,---,4573,00:58:53,3.9 km,00:03:43,05:21:33,180.2 km,00:02:20,03:25:04,42.2 km,09:51:33
Hendrik Abeln,58,9,60,1160,40-44,43,DE,DEU,---,4804,00:53:20,3.9 km,00:03:31,05:21:19,180.2 km,00:03:02,03:30:43,42.2 km,09:51:55
Michael Kimmann,59,2,61,1674,50-54,50,---,DEU,---,4965,00:57:09,3.9 km,00:03:31,05:26:36,180.2 km,00:03:04,03:21:48,42.2 km,09:52:08
Korneel Lagae,60,7,62,185,25-29,26,BE,BEL,---,4804,00:54:04,3.9 km,00:03:20,05:24:56,180.2 km,00:02:55,03:26:55,42.2 km,09:52:10
Johannes Brünink,61,3,63,1404,45-49,46,---,DEU,---,4719,00:59:59,3.9 km,00:03:10,05:12:22,180.2 km,00:02:34,03:34:26,42.2 km,09:52:31
Bram Laevens,62,20,64,307,30-34,30,BE,BEL,---,4559,00:54:15,3.9 km,00:04:03,05:28:38,180.2 km,00:02:49,03:22:55,42.2 km,09:52:40
Jan Vermond,63,21,65,915,30-34,31,NL,NLD,---,4556,01:03:00,3.9 km,00:03:47,05:21:41,180.2 km,00:03:28,03:21:02,42.2 km,09:52:58
Rico Giovanoli,64,22,66,375,30-34,34,CH,CHE,---,4550,01:07:18,3.9 km,00:05:08,05:14:14,180.2 km,00:03:22,03:23:24,42.2 km,09:53:26
Thomas Van Der Wal,65,10,67,1361,40-44,42,---,NLD,---,4784,01:00:58,3.9 km,00:03:59,05:24:57,180.2 km,00:03:01,03:20:39,42.2 km,09:53:34
Dave Scholz,66,23,68,865,30-34,30,DE,DEU,---,4545,00:57:14,3.9 km,00:03:35,05:08:41,180.2 km,00:02:13,03:42:08,42.2 km,09:53:51
Maes Chris,67,4,69,314,45-49,47,---,BEL,---,4691,01:11:08,3.9 km,00:03:53,05:12:04,180.2 km,00:05:02,03:22:44,42.2 km,09:54:51
Wouter Gryp,68,8,70,638,25-29,27,BE,BEL,---,4766,00:58:19,3.9 km,00:04:52,05:26:55,180.2 km,00:03:54,03:21:18,42.2 km,09:55:18
Manolo Dequero Vazquez,69,1,71,1783,55-59,55,---,NLD,---,5000,00:56:11,3.9 km,00:03:34,05:26:17,180.2 km,00:03:09,03:26:53,42.2 km,09:56:04
Johan Coulon,70,3,72,1634,50-54,50,BE,BEL,---,4907,00:50:56,3.9 km,00:02:54,05:23:59,180.2 km,00:04:28,03:34:38,42.2 km,09:56:55
Jorrit Vulker,71,9,73,712,25-29,29,---,NLD,---,4746,01:01:42,3.9 km,00:04:52,05:20:41,180.2 km,00:03:14,03:26:30,42.2 km,09:56:59
Simon Clam,72,24,74,145,30-34,32,---,BEL,---,4507,00:57:18,3.9 km,00:03:00,05:28:41,180.2 km,00:01:50,03:26:12,42.2 km,09:57:01
