name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Julen Saldias Ondarra,36,6,36,222,35-39,35,ES,ESP,---,4771,01:07:06,3.9 km,00:03:21,04:41:00,180.2 km,00:03:07,03:11:54,42.2 km,09:06:28
Koen Van Rie,37,3,37,125,40-44,44,---,BEL,---,4903,01:05:33,3.9 km,00:03:14,04:53:39,180.2 km,00:04:31,02:59:37,42.2 km,09:06:34
Guillaume Belgy,38,6,38,139,25-29,28,FR,FRA,---,4838,01:05:02,3.9 km,00:02:46,04:29:14,180.2 km,00:03:18,03:26:28,42.2 km,09:06:48
Enzo Bergamo,39,7,39,140,35-39,36,Italia,ITA,---,4758,01:07:53,3.9 km,00:03:21,04:45:43,180.2 km,00:02:50,03:07:45,42.2 km,09:07:32
Florian Luquet,40,7,40,674,25-29,26,Auvergne,FRA,---,4828,01:02:45,3.9 km,00:03:54,04:44:40,180.2 km,00:02:56,03:13:22,42.2 km,09:07:37
Tauty Nicolas,41,6,41,313,30-34,33,FR,FRA,---,4844,01:05:31,3.9 km,00:04:21,04:43:04,180.2 km,00:03:47,03:11:01,42.2 km,09:07:44
Tom Vickery,42,7,42,880,30-34,30,---,GBR,---,4822,01:03:51,3.9 km,00:02:48,04:48:26,180.2 km,00:02:55,03:11:35,42.2 km,09:09:35
Jose Miguel Herrero Tardon,43,8,43,992,35-39,37,---,ESP,---,4725,01:02:44,3.9 km,00:04:30,04:54:30,180.2 km,00:04:17,03:04:18,42.2 km,09:10:19
Bart Mathys,44,9,44,310,35-39,37,BE,BEL,---,4722,01:11:50,3.9 km,00:02:51,04:44:26,180.2 km,00:02:58,03:08:26,42.2 km,09:10:31
Matthias Dippong,45,8,45,87,30-34,33,DE,DEU,---,4808,01:02:21,3.9 km,00:04:31,04:42:21,180.2 km,00:02:40,03:18:53,42.2 km,09:10:46
Michael Dalmasso,46,10,46,949,35-39,36,---,FRA,---,4717,01:13:50,3.9 km,00:03:35,04:41:29,180.2 km,00:02:56,03:09:07,42.2 km,09:10:57
Beñat Lekue Aguirregomezkorta,47,8,47,666,25-29,28,ES,ESP,---,4787,01:07:36,3.9 km,00:03:56,04:40:58,180.2 km,00:02:33,03:16:00,42.2 km,09:11:03
Enric Gussinyer,48,16,48,27,PRO,42,---,ESP,---,4354,00:54:30,3.9 km,00:03:36,04:41:39,180.2 km,00:04:12,03:27:06,42.2 km,09:11:03
Roberto Cuesta,49,4,49,1911,40-44,42,Intl State,ESP,---,4834,01:11:39,3.9 km,00:03:50,04:48:22,180.2 km,00:03:14,03:05:10,42.2 km,09:12:15
Sergi Puigmal Orozco,50,9,50,321,30-34,31,ES,ESP,---,4785,01:06:36,3.9 km,00:03:56,04:51:18,180.2 km,00:02:36,03:08:12,42.2 km,09:12:38
Xavier Philippe,51,11,51,318,35-39,39,---,FRA,---,4693,01:09:07,3.9 km,00:04:04,04:34:44,180.2 km,00:03:56,03:21:04,42.2 km,09:12:55
Marco Infante,52,12,52,178,35-39,37,---,ITA,---,4690,01:06:01,3.9 km,00:03:54,04:46:23,180.2 km,00:03:37,03:13:19,42.2 km,09:13:14
Catherine Faux,1,1,53,54,PRO,28,---,GBR,---,5000,01:00:23,3.9 km,00:03:11,04:54:23,180.2 km,00:02:42,03:13:01,42.2 km,09:13:40
Eneko Elosegi,53,17,54,24,PRO,33,---,ESP,---,4320,01:03:09,3.9 km,00:03:51,04:41:35,180.2 km,00:02:42,03:22:33,42.2 km,09:13:50
Marc Puig Amiel,54,9,55,112,25-29,28,ES,ESP,---,4752,01:04:49,3.9 km,00:03:12,04:51:47,180.2 km,00:04:32,03:09:36,42.2 km,09:13:56
Benoit Marcolini,55,13,56,193,35-39,38,FR,FRA,---,4678,01:08:15,3.9 km,00:04:24,04:48:38,180.2 km,00:02:42,03:10:14,42.2 km,09:14:13
Laurent Petermann,56,2,57,109,45-49,46,---,FRA,---,4842,01:12:32,3.9 km,00:03:03,04:48:35,180.2 km,00:02:46,03:08:28,42.2 km,09:15:24
Stephane Lebon,57,5,58,1255,40-44,43,FR,FRA,---,4795,01:03:34,3.9 km,00:04:05,04:51:58,180.2 km,00:03:49,03:12:07,42.2 km,09:15:33
Steffen Kohlmann,58,2,59,593,18-24,23,---,DEU,---,4767,01:01:24,3.9 km,00:03:21,05:00:55,180.2 km,00:02:51,03:07:18,42.2 km,09:15:49
Anthony Faye,59,10,60,783,30-34,32,FR,FRA,---,4744,01:02:18,3.9 km,00:05:12,05:05:01,180.2 km,00:03:26,03:00:09,42.2 km,09:16:06
Franco Prezzi,60,3,61,111,45-49,48,BZ,ITA,---,4823,01:12:36,3.9 km,00:03:20,04:47:22,180.2 km,00:04:11,03:09:29,42.2 km,09:16:58
Nicolas Barthe,61,6,62,78,40-44,43,FR,FRA,---,4776,01:02:42,3.9 km,00:03:06,04:43:32,180.2 km,00:04:44,03:23:03,42.2 km,09:17:07
Celine Schaerer,2,2,63,52,PRO,26,---,CHE,---,4955,00:55:12,3.9 km,00:02:50,04:59:51,180.2 km,00:02:36,03:16:52,42.2 km,09:17:21
Etienne Barbet,62,7,64,1128,40-44,43,---,FRA,---,4771,00:57:45,3.9 km,00:02:48,04:47:04,180.2 km,00:03:50,03:26:04,42.2 km,09:17:31
Joachim Krauth,63,10,65,1908,25-29,27,DE,DEU,---,4708,01:11:41,3.9 km,00:06:47,04:54:19,180.2 km,00:03:26,03:01:22,42.2 km,09:17:35
Paolo La Placa,64,8,66,99,40-44,42,Other,ITA,---,4766,01:12:46,3.9 km,00:03:26,04:47:47,180.2 km,00:04:00,03:10:00,42.2 km,09:17:59
Sébastien Souffleux,65,9,67,1351,40-44,39,FR,FRA,---,4762,01:01:23,3.9 km,00:03:36,04:50:51,180.2 km,00:03:05,03:19:21,42.2 km,09:18:16
Michal Wojtylo,66,11,68,349,30-34,33,Dolnoslaskie,POL,---,4717,01:08:50,3.9 km,00:02:39,04:37:55,180.2 km,00:02:47,03:26:07,42.2 km,09:18:18
Sergi Bermejo Barnils,67,10,69,1133,40-44,40,---,ESP,---,4754,01:02:52,3.9 km,00:05:46,04:48:34,180.2 km,00:04:20,03:17:26,42.2 km,09:18:58
Maxime Picaut,68,11,70,696,25-29,28,FR,FRA,---,4684,00:55:27,3.9 km,00:04:58,04:56:00,180.2 km,00:02:48,03:20:21,42.2 km,09:19:34
Bastien Pla,69,12,71,699,25-29,28,---,FRA,---,4676,01:07:24,3.9 km,00:03:51,04:51:09,180.2 km,00:04:20,03:13:33,42.2 km,09:20:17
Christophe Hamard,70,11,72,290,40-44,42,FR,FRA,---,4736,01:01:54,3.9 km,00:04:09,04:47:56,180.2 km,00:04:47,03:21:41,42.2 km,09:20:27
Pablo Cueto Gomez,71,12,73,764,30-34,31,---,ESP,---,4691,01:02:18,3.9 km,00:04:13,04:55:54,180.2 km,00:03:57,03:14:07,42.2 km,09:20:29
