name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Thomas Gotta,---,1911,---,1400,35-39,45,---,---,---,---,01:29:40,3.9 km,00:15:22,06:05:59,180.2 km,00:10:30,05:52:22,42.2 km,13:53:53
Annette Götz,---,1242,---,522,35-39,---,GER,---,---,---,01:15:55,3.9 km,00:05:07,05:42:52,180.2 km,00:04:14,04:56:14,42.2 km,12:04:22
Manfred Götz,---,833,---,1402,60-64,---,GER,---,---,---,01:20:56,3.9 km,00:05:08,05:36:52,180.2 km,00:02:45,04:15:10,42.2 km,11:20:51
Thomas Götzfried,---,1065,---,1403,40-44,50,DE,---,---,---,01:41:50,3.9 km,00:06:54,05:44:56,180.2 km,00:02:28,04:09:20,42.2 km,11:45:28
Mark Gower,---,432,---,1404,45-49,---,GBR,GBR,---,---,01:20:47,3.9 km,00:06:05,05:23:28,180.2 km,00:01:47,03:45:19,42.2 km,10:37:26
Christoph Gräber,---,1600,---,1405,30-34,---,GER,---,---,---,01:12:19,3.9 km,00:07:00,06:21:50,180.2 km,00:04:41,05:09:45,42.2 km,12:55:35
Sylvain Gradelet,---,699,---,1406,40-44,49,DE,---,---,---,01:11:00,3.9 km,00:04:43,05:32:14,180.2 km,00:02:29,04:16:13,42.2 km,11:06:39
Helmut Graf,---,510,---,1407,45-49,---,GER,---,---,---,01:22:09,3.9 km,00:04:00,05:37:05,180.2 km,00:02:02,03:40:59,42.2 km,10:46:15
Oliver Graf,---,269,---,1409,45-49,---,GER,---,---,---,00:59:56,3.9 km,00:04:29,05:08:38,180.2 km,00:01:55,04:00:15,42.2 km,10:15:13
Eric Graindorge,---,305,---,170,45-49,54,BE,---,---,---,01:11:05,3.9 km,00:04:33,05:28:28,180.2 km,00:01:14,03:35:13,42.2 km,10:20:33
Javier Gramage,---,923,---,2011,35-39,41,---,---,---,---,01:00:23,3.9 km,00:06:23,05:32:21,180.2 km,00:04:00,04:49:03,42.2 km,11:32:10
Olaf Gramlich,---,---,DNF,171,40-44,---,GER,---,---,---,01:14:31,3.9 km,---,---,180.2 km,---,---,42.2 km,DNF
Dennis Grändorf,---,1092,---,1411,30-34,---,GER,---,---,---,01:22:03,3.9 km,00:05:45,06:01:19,180.2 km,00:03:43,04:15:16,42.2 km,11:48:06
Andreas Gränzer,---,1573,---,1412,45-49,---,GER,---,---,---,01:23:19,3.9 km,00:06:33,05:52:04,180.2 km,00:04:36,05:25:55,42.2 km,12:52:27
Vincenzo Greco,---,712,---,1413,40-44,46,Bolzano,---,---,---,01:39:59,3.9 km,00:05:30,05:28:58,180.2 km,00:01:42,03:51:44,42.2 km,11:07:53
Ian Green,---,1844,---,1414,40-44,47,---,GBR,---,---,01:25:03,3.9 km,00:06:18,06:31:08,180.2 km,00:02:53,05:34:52,42.2 km,13:40:14
Stephan Grengs,---,1274,---,1417,25-29,34,---,---,---,---,01:36:34,3.9 km,00:05:20,05:32:24,180.2 km,00:02:40,04:51:02,42.2 km,12:08:00
Ronny Greschner,---,173,---,1418,35-39,---,GER,---,---,---,01:14:51,3.9 km,00:04:15,05:11:33,180.2 km,00:01:26,03:24:55,42.2 km,09:57:00
Philipp Griese,---,1868,---,1419,25-29,---,GER,---,---,---,00:59:23,3.9 km,00:03:02,06:01:40,180.2 km,00:04:08,06:36:31,42.2 km,13:44:44
Thorsten Grimm,---,1299,---,1421,40-44,50,DE,---,---,---,01:20:03,3.9 km,00:07:56,05:50:52,180.2 km,00:03:08,04:50:32,42.2 km,12:12:31
Thomas Grimpe,---,357,---,1422,40-44,47,---,---,---,---,01:01:13,3.9 km,00:04:07,05:30:52,180.2 km,00:01:01,03:49:42,42.2 km,10:26:55
Tim Grinsted,---,2064,---,1423,40-44,---,GBR,GBR,---,---,01:44:07,3.9 km,00:12:57,07:18:41,180.2 km,00:06:04,05:21:12,42.2 km,14:43:01
Domènec Gris Medina,---,748,---,1424,30-34,---,---,---,---,---,01:17:10,3.9 km,00:04:16,05:25:55,180.2 km,00:01:18,04:22:58,42.2 km,11:11:37
Thomas Gröger,---,1003,---,1425,45-49,52,DE,---,---,---,01:26:10,3.9 km,00:08:49,05:21:47,180.2 km,00:03:48,04:39:38,42.2 km,11:40:12
