name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Mark Abbott,---,1911,---,1548,45-49,58,NC,USA,---,---,01:34:51,2.4 mi,00:11:58,06:52:33,112 mi,00:10:41,06:38:53,26.2 mi,15:28:56
Joanne Abbruzzesi,---,399,---,2277,40-44,52,PA,USA,---,---,01:03:02,2.4 mi,00:05:14,05:32:53,112 mi,00:04:04,04:02:31,26.2 mi,10:47:44
Terry Abihai,---,1822,---,1778,50-54,62,AZ,USA,---,---,01:26:48,2.4 mi,00:12:13,06:35:20,112 mi,00:15:04,06:17:19,26.2 mi,14:46:44
Joe Abunassar,---,232,---,536,30-34,45,CA,USA,---,---,00:56:56,2.4 mi,00:08:00,05:24:12,112 mi,00:04:37,03:47:37,26.2 mi,10:21:22
John Adams,---,---,DNS,540,30-34,---,CA,USA,---,---,---,2.4 mi,---,---,112 mi,---,---,26.2 mi,DNS
Keith Adams,---,---,DNS,533,30-34,45,IL,USA,---,---,---,2.4 mi,---,---,112 mi,---,---,26.2 mi,DNS
Jeff Adamson,---,---,DNS,1466,40-44,---,MI,USA,---,---,---,2.4 mi,---,---,112 mi,---,---,26.2 mi,DNS
Jennifer Adley,---,394,---,1972,25-29,38,GA,USA,---,---,00:58:29,2.4 mi,00:04:39,05:10:26,112 mi,00:04:30,04:29:18,26.2 mi,10:47:22
Christin Aeberhard,---,---,DNS,1950,18-24,---,---,CHE,---,---,---,2.4 mi,---,---,112 mi,---,---,26.2 mi,DNS
Christin Aeberhard,---,212,---,1951,18-24,---,---,CHE,---,---,00:56:49,2.4 mi,00:04:49,05:29:36,112 mi,00:03:37,03:42:36,26.2 mi,10:17:27
Marco Agostini,---,292,---,423,30-34,43,---,GBR,---,---,01:06:47,2.4 mi,00:07:58,05:27:57,112 mi,00:04:06,03:46:11,26.2 mi,10:32:59
Corby Ahner,---,890,---,2322,40-44,56,TX,USA,---,---,01:11:58,2.4 mi,00:10:22,05:59:22,112 mi,00:08:20,04:22:50,26.2 mi,11:52:52
Taylor Ahrens,---,1083,---,2114,30-34,---,LA,USA,---,---,01:12:35,2.4 mi,00:09:00,05:46:46,112 mi,00:06:27,05:05:45,26.2 mi,12:20:33
Tamotsu Aki,---,1663,---,1922,60-64,---,---,JPN,---,---,01:25:51,2.4 mi,00:07:05,06:58:32,112 mi,00:07:33,05:23:54,26.2 mi,14:02:55
Kari Ala-Leppilampi,---,101,---,794,35-39,---,ON,CAN,---,---,01:04:13,2.4 mi,00:05:27,05:03:39,112 mi,00:03:27,03:32:36,26.2 mi,09:49:22
Jason Albright,---,1531,---,156,18-24,---,TX,USA,---,---,01:25:51,2.4 mi,00:10:08,06:34:49,112 mi,00:09:59,05:09:59,26.2 mi,13:30:46
Mike Aldridge,---,1357,---,1098,35-39,51,LA,USA,---,---,01:24:47,2.4 mi,00:14:51,05:54:43,112 mi,00:11:14,05:08:56,26.2 mi,12:54:31
Andres Alfaro-Umana,---,1461,---,791,35-39,---,LIMO,CRI,---,---,01:13:53,2.4 mi,00:10:03,06:06:01,112 mi,00:04:06,05:44:33,26.2 mi,13:18:36
Brian Allain,---,527,---,1289,40-44,53,GA,USA,---,---,01:05:04,2.4 mi,00:08:46,05:28:32,112 mi,00:05:34,04:18:36,26.2 mi,11:06:32
Paolina Allan,---,168,---,2138,30-34,---,ON,CAN,---,---,01:04:37,2.4 mi,00:03:32,05:14:07,112 mi,00:04:05,03:40:43,26.2 mi,10:07:04
Scot Allard,---,1483,---,1147,40-44,51,MD,USA,---,---,01:26:16,2.4 mi,00:09:07,06:19:55,112 mi,00:08:54,05:18:31,26.2 mi,13:22:43
Robbie Allen,---,422,---,1094,35-39,51,KY,USA,---,---,00:47:57,2.4 mi,00:04:44,05:49:48,112 mi,00:03:57,04:03:37,26.2 mi,10:50:03
Lisa Allison,---,1592,---,2332,40-44,---,GA,USA,---,---,01:13:55,2.4 mi,00:10:06,06:15:43,112 mi,00:13:54,05:50:13,26.2 mi,13:43:51
Lynley Allison,---,235,---,2,PRO,---,---,NZL,---,---,00:54:38,2.4 mi,00:02:54,05:20:47,112 mi,00:01:38,04:02:27,26.2 mi,10:22:24
Stephen Allison,---,722,---,1749,50-54,63,NM,USA,---,---,01:15:39,2.4 mi,00:08:22,05:28:56,112 mi,00:06:59,04:31:51,26.2 mi,11:31:47
Bridget Altenburg,---,1322,---,2046,30-34,43,IL,USA,---,---,01:19:52,2.4 mi,00:11:41,06:10:44,112 mi,00:07:47,05:01:02,26.2 mi,12:51:06
Troy Altomare,---,1603,---,784,35-39,47,FL,USA,---,---,01:04:44,2.4 mi,00:05:27,06:09:27,112 mi,00:09:00,06:19:07,26.2 mi,13:47:45
Monica Alvarez,---,1201,---,2121,30-34,---,---,GTM,---,---,01:19:08,2.4 mi,00:06:20,06:11:53,112 mi,00:06:42,04:53:19,26.2 mi,12:37:22
Ingrid Alvermann-Buhr,---,1018,---,2385,50-54,---,NIE,DEU,---,---,01:12:54,2.4 mi,00:05:54,06:16:06,112 mi,00:03:48,04:34:07,26.2 mi,12:12:49
Greg Alverson,---,291,---,1313,40-44,54,OH,USA,---,---,01:03:42,2.4 mi,00:04:31,05:20:39,112 mi,00:03:47,04:00:02,26.2 mi,10:32:41
Esteban Amador,---,1047,---,903,35-39,48,FL,ECU,---,---,01:04:42,2.4 mi,00:08:50,05:53:48,112 mi,00:07:21,05:01:27,26.2 mi,12:16:08
Bill Anders,---,---,DNS,279,25-29,41,MI,USA,---,---,---,2.4 mi,---,---,112 mi,---,---,26.2 mi,DNS
Daniel Anderson,---,---,DNS,542,30-34,45,TN,USA,---,---,---,2.4 mi,---,---,112 mi,---,---,26.2 mi,DNS
John Anderson,---,1920,---,1855,55-59,67,FL,USA,---,---,01:22:39,2.4 mi,00:13:22,07:28:59,112 mi,00:09:01,06:18:49,26.2 mi,15:32:50
Peter Anderson,---,1653,---,378,30-34,42,IN,USA,---,---,01:23:54,2.4 mi,00:19:09,06:57:56,112 mi,00:10:07,05:08:34,26.2 mi,13:59:40
Steven Anderson,---,269,---,1350,40-44,53,SD,USA,---,---,01:05:48,2.4 mi,00:04:39,05:21:48,112 mi,00:03:21,03:52:20,26.2 mi,10:27:56
