name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Stefan Judex,---,399,---,1028,35-39,---,---,USA,---,---,00:54:44,3.9 km,00:02:41,05:00:47,180.2 km,00:03:36,04:31:10,42.2 km,10:32:58
Régis Julian,---,355,---,1029,35-39,---,---,FRA,---,---,01:04:52,3.9 km,00:05:32,05:17:53,180.2 km,00:03:44,03:54:38,42.2 km,10:26:39
Eric Jünker,---,---,DNS,1030,35-39,---,---,DEU,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Wolfgang Juritsch,---,720,---,2098,50-54,---,---,AUT,---,---,01:14:51,3.9 km,00:06:38,05:36:12,180.2 km,00:04:30,04:05:57,42.2 km,11:08:08
Karoline Käfer,---,1370,---,69,50-54,---,---,AUT,---,---,01:44:00,3.9 km,00:06:08,06:39:34,180.2 km,00:06:56,03:51:37,42.2 km,12:28:15
Klaus Kagerer,---,1210,---,1533,40-44,---,---,AUT,---,---,01:21:06,3.9 km,00:06:26,06:17:16,180.2 km,00:04:49,04:16:44,42.2 km,12:06:21
Martin Kaimbacher,---,1578,---,1031,35-39,---,---,AUT,---,---,01:18:16,3.9 km,00:07:48,06:36:51,180.2 km,00:10:32,04:44:53,42.2 km,12:58:20
Martin Kaindl,---,588,---,1032,35-39,---,---,AUT,---,---,01:08:17,3.9 km,00:02:57,05:15:26,180.2 km,00:02:45,04:24:19,42.2 km,10:53:44
Marcus Kaiser,---,900,---,1033,35-39,---,---,DEU,---,---,01:09:17,3.9 km,00:04:56,05:11:40,180.2 km,00:05:46,04:56:41,42.2 km,11:28:20
Martin Kaiser,---,1426,---,1535,40-44,---,---,AUT,---,---,01:21:19,3.9 km,00:15:28,05:58:52,180.2 km,00:09:08,04:52:03,42.2 km,12:36:50
Peter Kaiser,---,1513,---,41,45-49,---,---,AUT,---,---,01:24:56,3.9 km,00:06:49,06:23:02,180.2 km,00:09:28,04:43:15,42.2 km,12:47:30
Panos Kakoullis,---,1267,---,1034,35-39,---,---,GBR,---,---,01:15:08,3.9 km,00:11:39,05:59:54,180.2 km,00:09:13,04:38:38,42.2 km,12:14:32
Beate Kakpa,---,---,DNS,2424,40-44,---,---,AUT,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Sedik Kalafate,---,440,---,1536,40-44,---,---,DEU,---,---,01:15:05,3.9 km,00:03:28,05:35:10,180.2 km,00:02:44,03:42:04,42.2 km,10:38:31
Andreas Kalcher,---,---,DNF,1035,35-39,---,---,AUT,---,---,01:43:05,3.9 km,00:08:39,---,180.2 km,---,---,42.2 km,DNF
Mark Kalinauckas,---,1962,---,2168,55-59,---,---,GBR,---,---,01:24:23,3.9 km,00:13:03,07:47:13,180.2 km,00:11:05,05:44:46,42.2 km,15:20:30
Christoph Kaltenböck,---,692,---,227,25-29,---,---,AUT,---,---,01:05:54,3.9 km,00:04:15,05:46:25,180.2 km,00:04:08,04:04:38,42.2 km,11:05:20
Simone Kaltenecker,---,1327,---,2223,18-24,---,---,DEU,---,---,01:00:33,3.9 km,00:03:28,06:30:20,180.2 km,00:04:09,04:43:14,42.2 km,12:21:44
