name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Paul Cupo,34,7,36,1722,40-44,46,NY,USA,---,4698,01:15:45,2.4 mi,00:02:38,05:00:05,112 mi,00:01:40,03:23:01,26.2 mi,09:43:09
Manlio Vecchiet,35,8,37,1215,40-44,46,WA,USA,---,4686,01:13:39,2.4 mi,00:02:57,04:59:18,112 mi,00:02:50,03:25:23,26.2 mi,09:44:07
Felipe Mora,36,6,38,98,25-29,28,CO,COL,---,4332,01:09:23,2.4 mi,00:02:55,04:48:34,112 mi,00:02:31,03:43:34,26.2 mi,09:46:57
Scott Padgett,37,8,39,50,30-34,34,MD,USA,---,4528,01:05:23,2.4 mi,00:02:11,04:49:13,112 mi,00:01:29,03:48:49,26.2 mi,09:47:05
Mark Wooten,38,9,40,108,30-34,36,TX,USA,---,4512,01:18:23,2.4 mi,00:04:03,05:00:04,112 mi,00:02:13,03:23:40,26.2 mi,09:48:23
Loc Spann-Ly,39,9,41,218,40-44,42,---,USA,---,4631,01:24:56,2.4 mi,00:03:43,04:58:24,112 mi,00:02:04,03:19:34,26.2 mi,09:48:41
David Ellis,40,10,42,101,30-34,32,CT,USA,---,4479,01:06:15,2.4 mi,00:03:08,04:53:37,112 mi,00:02:46,03:45:21,26.2 mi,09:51:07
Jp Leclerc,41,11,43,103,30-34,34,QC,CAN,---,4459,01:11:18,2.4 mi,00:03:09,04:52:45,112 mi,00:02:37,03:42:59,26.2 mi,09:52:48
Jim Sullivan,42,4,44,1391,45-49,51,MA,USA,---,4596,01:11:45,2.4 mi,00:03:12,04:50:07,112 mi,00:04:17,03:43:33,26.2 mi,09:52:54
Mark Mumford,43,2,45,1762,50-54,54,OH,USA,---,4776,01:13:25,2.4 mi,00:05:01,04:55:42,112 mi,00:03:05,03:36:24,26.2 mi,09:53:37
Matt Bender,44,12,46,306,30-34,32,MD,USA,---,4448,01:11:36,2.4 mi,00:02:55,05:12:37,112 mi,00:02:08,03:24:29,26.2 mi,09:53:45
Mark Swanlund,45,3,47,1508,50-54,52,---,USA,---,4771,01:05:30,2.4 mi,00:03:58,05:20:13,112 mi,00:03:36,03:20:44,26.2 mi,09:54:01
Jeff Ickes,46,10,48,1725,40-44,43,NC,USA,---,4559,01:07:03,2.4 mi,00:04:25,04:51:28,112 mi,00:05:05,03:46:41,26.2 mi,09:54:42
Justin Ehring,47,2,49,672,18-24,21,PA,USA,---,4853,01:05:20,2.4 mi,00:02:59,05:10:30,112 mi,00:02:19,03:34:08,26.2 mi,09:55:16
Dan Contant,48,4,50,69,50-54,53,ON,CAN,---,4746,01:15:38,2.4 mi,00:02:39,04:53:33,112 mi,00:02:51,03:41:23,26.2 mi,09:56:04
Douglas Mulvaney,49,13,51,49,30-34,36,MI,USA,---,4416,01:24:17,2.4 mi,00:02:53,04:39:27,112 mi,00:03:13,03:46:32,26.2 mi,09:56:22
Brendan Wills,50,11,52,220,40-44,42,---,USA,---,4539,01:13:19,2.4 mi,00:02:46,04:53:33,112 mi,00:01:30,03:45:15,26.2 mi,09:56:23
Alan Sherman,51,12,53,1188,40-44,45,MD,USA,---,4536,01:11:27,2.4 mi,00:03:06,05:12:07,112 mi,00:02:25,03:27:34,26.2 mi,09:56:39
JOHN KILBURN,52,13,54,58,40-44,44,---,USA,---,4533,01:06:51,2.4 mi,00:03:17,05:06:53,112 mi,00:03:28,03:36:23,26.2 mi,09:56:52
Ann Hammer,3,2,55,327,30-34,36,MA,USA,---,4724,01:05:14,2.4 mi,00:02:59,05:00:01,112 mi,00:02:43,03:47:27,26.2 mi,09:58:24
Peter Russo,53,5,56,1763,50-54,51,RI,USA,---,4706,01:02:51,2.4 mi,00:03:20,04:42:52,112 mi,00:03:41,04:06:41,26.2 mi,09:59:25
Rafael Silva,54,11,57,990,35-39,37,RJ,BRA,---,4237,01:05:11,2.4 mi,00:04:04,04:59:06,112 mi,00:03:45,03:47:50,26.2 mi,09:59:56
Zach Miller,55,3,58,687,18-24,26,TX,USA,---,4790,01:07:17,2.4 mi,00:02:41,05:16:46,112 mi,00:01:29,03:32:17,26.2 mi,10:00:30
Todde Withycombe,56,14,59,1228,40-44,42,TX,USA,---,4484,01:04:22,2.4 mi,00:04:02,05:09:55,112 mi,00:06:40,03:35:59,26.2 mi,10:00:58
Jimmy Sosinski,57,14,60,1699,30-34,34,VA,USA,---,4360,01:19:51,2.4 mi,00:02:21,04:40:36,112 mi,00:01:58,03:56:18,26.2 mi,10:01:04
John Kitchen,58,5,61,1319,45-49,48,MD,USA,---,4492,01:01:58,2.4 mi,00:03:08,05:10:51,112 mi,00:02:31,03:43:07,26.2 mi,10:01:35
Gene Severtson,59,12,62,988,35-39,40,MD,USA,---,4209,01:13:26,2.4 mi,00:04:20,04:51:22,112 mi,00:04:54,03:48:12,26.2 mi,10:02:14
Michael Krueger,60,6,63,70,50-54,52,---,GEO,---,4642,01:16:56,2.4 mi,00:02:41,04:45:21,112 mi,00:02:07,03:57:39,26.2 mi,10:04:44
Daniela Hafner,4,3,64,36,30-34,35,DE,DEU,---,4648,01:09:58,2.4 mi,00:02:33,05:02:55,112 mi,00:01:55,03:47:23,26.2 mi,10:04:44
Mario Hamel,61,6,65,228,45-49,50,QC,CAN,---,4452,01:16:44,2.4 mi,00:04:08,04:50:32,112 mi,00:02:03,03:51:26,26.2 mi,10:04:53
Kent Lassman,62,15,66,125,40-44,---,VA,USA,---,4432,00:58:12,2.4 mi,00:03:35,05:00:22,112 mi,00:02:22,04:00:45,26.2 mi,10:05:16
