name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Mark O'Malley,---,913,---,1267,40-44,47,---,GBR,---,---,01:27:32,3.9 km,00:07:02,08:25:59,180.2 km,00:09:07,04:25:50,42.2 km,14:35:32
Brian O'Neill,---,751,---,61,40-44,44,SCOTLAND,GBR,---,---,01:16:45,3.9 km,00:09:53,07:13:29,180.2 km,00:06:57,04:42:10,42.2 km,13:29:16
Mike Organ,---,476,---,1156,45-49,53,Dorset,GBR,---,---,01:17:16,3.9 km,00:05:56,06:23:09,180.2 km,00:05:58,04:31:04,42.2 km,12:23:25
Richard Orme,---,1030,---,1158,60-64,66,---,GBR,---,---,01:53:49,3.9 km,00:11:09,08:11:20,180.2 km,00:15:55,05:25:08,42.2 km,15:57:23
Paul O'Rourke,---,383,---,836,40-44,47,---,IRL,---,---,01:37:10,3.9 km,00:03:57,06:11:39,180.2 km,00:04:59,03:59:31,42.2 km,11:57:18
Stephen Orpin,---,217,---,1183,30-34,36,---,GBR,---,---,01:00:57,3.9 km,00:04:34,06:27:24,180.2 km,00:06:42,03:39:25,42.2 km,11:19:05
Carlos Ortiz Garcia Vaso,---,248,---,542,45-49,52,---,ESP,---,---,01:19:51,3.9 km,00:11:33,06:19:18,180.2 km,00:05:47,03:29:53,42.2 km,11:26:24
Douglas Osborne,---,713,---,919,45-49,50,kent,GBR,---,---,01:06:34,3.9 km,00:05:51,07:27:46,180.2 km,00:05:18,04:33:43,42.2 km,13:19:14
Ian Osborne,---,---,DNS,41,40-44,47,Intl State,GBR,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Samuel Osei-Nimo,---,968,---,591,30-34,36,Nottinghamshire,GBR,---,---,02:17:37,3.9 km,00:06:43,07:55:46,180.2 km,00:08:51,04:39:29,42.2 km,15:08:28
Sinan Osman,---,593,---,381,45-49,50,North Yorkshire,GBR,---,---,01:22:27,3.9 km,00:04:42,07:04:14,180.2 km,00:05:40,04:15:25,42.2 km,12:52:31
Timothy O'sullivan,---,456,---,323,30-34,37,---,IRL,---,---,01:05:08,3.9 km,00:05:56,06:41:11,180.2 km,00:06:44,04:20:30,42.2 km,12:19:32
Doug Owen,---,451,---,667,45-49,52,---,GBR,---,---,01:16:29,3.9 km,00:11:17,06:41:41,180.2 km,00:12:12,03:56:19,42.2 km,12:18:00
Tom Owen,---,415,---,736,18-24,29,---,GBR,---,---,01:13:02,3.9 km,00:08:24,06:31:17,180.2 km,00:05:50,04:06:25,42.2 km,12:05:00
Michael Owens,---,520,---,757,25-29,34,---,GBR,---,---,01:11:40,3.9 km,00:07:57,06:48:52,180.2 km,00:07:45,04:16:33,42.2 km,12:32:49
Rob Owens,---,880,---,262,35-39,43,---,GBR,---,---,01:23:36,3.9 km,00:15:47,07:28:51,180.2 km,00:16:14,04:52:17,42.2 km,14:16:48
Steve Pace,---,1015,---,952,40-44,47,---,GBR,---,---,01:39:02,3.9 km,00:08:17,08:15:46,180.2 km,00:12:31,05:30:38,42.2 km,15:46:15
Jamie Page,---,884,---,460,25-29,33,---,GBR,---,---,01:20:16,3.9 km,00:07:58,07:34:16,180.2 km,00:09:55,05:05:03,42.2 km,14:17:31
Nik Avraam's Charity Page,---,645,---,669,35-39,42,---,GBR,---,---,01:08:55,3.9 km,00:13:18,07:26:12,180.2 km,00:15:24,03:58:44,42.2 km,13:02:35
Alistair Palmer,---,57,---,286,25-29,33,---,GBR,---,---,01:08:50,3.9 km,00:05:24,05:59:27,180.2 km,00:02:54,02:49:44,42.2 km,10:06:19
Leuteris Paraskeuas,---,394,---,868,35-39,41,---,GRC,---,---,00:50:05,3.9 km,00:07:48,06:30:16,180.2 km,00:06:06,04:25:15,42.2 km,11:59:32
John Pardoe,---,587,---,715,35-39,40,---,GBR,---,---,01:10:57,3.9 km,00:10:47,07:07:00,180.2 km,00:12:17,04:09:02,42.2 km,12:50:05
Tim Parish,---,313,---,744,25-29,34,---,GBR,---,---,01:15:55,3.9 km,00:05:22,06:33:09,180.2 km,00:02:59,03:46:13,42.2 km,11:43:41
Allan Parker,---,899,---,271,30-34,36,---,GBR,---,---,01:23:07,3.9 km,00:06:58,07:48:11,180.2 km,00:05:10,05:02:57,42.2 km,14:26:26
Sam Parker,---,---,DNS,907,35-39,43,---,GBR,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Stuart Parker,---,716,---,55,50-54,57,lincolnshire,GBR,---,---,01:11:43,3.9 km,00:07:13,07:13:22,180.2 km,00:06:49,04:40:39,42.2 km,13:19:47
Richard Parnell,---,173,---,1119,50-54,55,Norfolk,GBR,---,---,01:04:05,3.9 km,00:04:20,05:55:03,180.2 km,00:02:13,03:57:56,42.2 km,11:03:39
Neil Parsons,---,980,---,557,30-34,37,---,GBR,---,---,01:17:31,3.9 km,00:15:45,08:11:47,180.2 km,00:15:23,05:15:47,42.2 km,15:16:14
Andrew Paslowski,---,810,---,343,40-44,46,---,GBR,---,---,01:08:39,3.9 km,00:07:59,06:57:09,180.2 km,00:08:46,05:26:38,42.2 km,13:49:13
Domenico Passuello,---,4,---,6,PRO,38,Intl State,ITA,---,---,00:50:48,3.9 km,00:03:07,05:07:29,180.2 km,00:01:22,02:49:02,42.2 km,08:51:51
Brian Paterson,---,---,DNS,1081,40-44,46,---,GBR,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Brett Patten,---,920,---,754,30-34,36,---,GBR,---,---,01:26:17,3.9 km,00:08:14,08:05:07,180.2 km,00:07:51,04:53:42,42.2 km,14:41:13
Michael Patterson,---,813,---,702,40-44,46,---,GBR,---,---,01:05:04,3.9 km,00:07:03,07:24:04,180.2 km,00:09:18,05:04:40,42.2 km,13:50:10
Paul Patterson,---,---,DNF,352,50-54,59,CORNWALL,GBR,---,---,02:00:07,3.9 km,00:11:41,---,180.2 km,---,---,42.2 km,DNF
